job title,description,company,salary range,url
Senior Executive / Assistant Programme Manager for AI Singapore (Innovation),Senior Executive / Assistant Programme Manager for AI Singapore (Innovation),National University of Singapore,,
"Technology Sales - Brand Partner Specialist, Data & AI","Engaging directly with partners and their clients in support of high value engagements and opportunities, you will augment partner and client engag...",IBM SERVICES TALENT DELIVERY PTE. LTD.,,
HR Officer – AI and Robotics Company,"About Us: We are a leading AI and robotics company at the forefront of technological innovation, dedicated to creating cutting-edge solutions that ...",DCONSTRUCT ROBOTICS PTE. LTD.,,
Technology Sales Specialist - Data & AI,"A Technology Sales Specialist role (what we internally call a, ‘Brand Sales Specialist’) in IBM’s Data & AI brand means accelerating enterprises’ s...",IBM SERVICES TALENT DELIVERY PTE. LTD.,,
AI compiler Engineer (AI Sub-system),"We are seeking a talented and motivated AI compiler Engineer (AI Sub-system) to join our R&D team to own, define, and drive exploration and design ...",Renesas Electronics Singapore Pte. Ltd.,,
Senior AI Engineer (Technical Documentation and Community Engagement) (Products),Senior AI Engineer (Technical Documentation and Community Engagement) for AI Singapore (Products),National University of Singapore,,
"Field Engineering, Generative AI Product Specialist","You have expertise in Data Science, Machine Learning, Generative AI, NLP and Computer Vision and expertise in using PySpark and SQL. You will excel...",Databricks,,
Full-stack Software Developer for AI Chatbot Startup,We're looking for talented and motivated junior to mid-level software engineers who are looking to challenge and improve themselves while building ...,BotDistrikt,,
"OpenShift Sales Specialist (AI), APAC",The OpenShift Sales Specialist for AI assumes a pivotal role in providing expert sales support for the seamless execution of Go-To-Market (GTM) str...,Red Hat Asia Pacific Pte Ltd,,
AI Software Engineer,Pensees R&D team is searching for an outstanding software engineer to build the AIGC framework of the future. Join us in developing the AIGC platfo...,Pensees Pte Ltd,,
Software Engineer / Automated Vision Equipment / Kallang,Carry out Research & Development in Image Processing / Computer Vision Algorithm for automated optical inspection systems,WORKSTONE PTE. LTD.,"$4,500 – $6,000 per month",
Professional Officer (All Levels) in (Generative AI) (SPICE),-,Singapore Institute of Technology,,
"Director, Smart Manufacturing & AI- Finance & Cost","Work at the intersection of Finance, Manufacturing, Procurement & Supply chain to drive initiatives such as inventory management, improve COGS, etc...",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,,
Solution Architect - Data & AI,We are seeking a highly skilled and experienced Solution Architect – Data Analytics for AWS to join our team and play a crucial role in designing a...,SoftwareONE Pte Ltd,,
Postdoctoral Associate / Research Scientist (Designing human-AI teams) (CS),The M3S programme aims to promote the use of AI and machines for practical applications through an intersectional approach.,Singapore-MIT Alliance for Research and Technology Centre,,
"Computer Vision Research Scientist, Intelligent Creation",About Tiktok TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global o...,TIKTOK PTE. LTD.,,
Research Engineer (Designing human-AI teams) (CS),The M3S programme aims to promote the use of AI and machines for practical applications through an intersectional approach.,Singapore-MIT Alliance for Research and Technology Centre,,
Postdoctoral Associate / Research Scientist (Designing human-AI teams) (SS),The M3S programme aims to promote the use of AI and machines for practical applications through an intersectional approach.,Singapore-MIT Alliance for Research and Technology Centre,,
Research Engineer (Designing human-AI teams) (SS),The M3S programme aims to promote the use of AI and machines for practical applications through an intersectional approach.,Singapore-MIT Alliance for Research and Technology Centre,,
"Health Solution Partner, AI","Responsible for onboarding customers to new operating model platforms
(e.g., Digital Engagement Portal)
Knowledgeable of customer preferences for c...",Pfizer Pte Ltd,,
"Director, Product Management (AI)","Develop and drive the product vision, strategy, and roadmap for AI-driven products in the cryptocurrency and blockchain industry.
Conduct in-depth ...",Crypto,,
Platforms Engineer (MLOps) for AI Singapore,Platforms Engineer (MLOps) for AI Singapore,National University of Singapore,,
AI Software Engineer,"At least 2 years of Experience in developing Vision AI applications, i.e. object detection & classification, object segmentation, computer vision a...",CYNAPSE PTE. LTD.,,
"Senior Developer, Artificial Intelligence, SAP Singapore","As an Senior AI Developer / AI Developer, you will work together with a team of dedicated experts including AI scientists, data engineers, dev-ops ...",SAP Asia Pte Ltd,,
Associate AI Developer,"Responsible for the design, implementation and maintenance of modules or features of a application product. Works according to specifications and p...",SAP Asia Pte Ltd,,
Robotics Researcher - AI and Robotics Company,"About Us: We are a leading AI and robotics company at the forefront of technological innovation, dedicated to creating cutting-edge solutions that ...",DCONSTRUCT ROBOTICS PTE. LTD.,,
Identity Verification (KYC) Algorithm Engineer - Marketplace Intelligence & Data,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Hardware Engineer - AI and Robotics Company,"About Us: We are a leading AI and robotics company at the forefront of technological innovation, dedicated to creating cutting-edge solutions that ...",DCONSTRUCT ROBOTICS PTE. LTD.,,
Generative AI Engineer - J44192,Generative AI Engineer with keen interest in nation-wide initiatives.,ScienTec Consulting Pte Ltd,,
Algorithm engineer ecommerce knowledge,"TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa. TikTok is ...",TIKTOK PTE. LTD.,,
Tech Trainer - AI and Robotics Company,Job Description: We are looking for an enthusiastic Technical Trainer to educate people in the technological field of AI and Robotics. You will dev...,DCONSTRUCT ROBOTICS PTE. LTD.,,
Algorithm Engineer - Search & Recommendation (Campus Recruitment 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Video Analytics System Support,"6. The System Support shall have experience in VA or similar project management.
7. Experience in VA system management or equivalent role.
8. Exper...",MTS SYSTEMS ENGINEERING PTE. LTD.,,
AI Researcher,"Identify and develop core data and AI science components for the delivery of projects, architect specialised database and computing environments, e...",ANTCHAIN TECHNOLOGY PTE. LTD.,,
Finance Manager - AI and Robotics Company,"About Us: We are a leading AI and robotics company at the forefront of technological innovation, dedicated to creating cutting-edge solutions that ...",DCONSTRUCT ROBOTICS PTE. LTD.,,
Senior AI Engineer/Scientist,We are looking for candidates to fulfil a role in AI Team as Engineer/ Senior Engineer. He/ She will be part of a dynamic team involved in deployin...,Hendricks Corp,,
Senior Machine learning Platform Engineer - Paid Ads,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Software Engineer (Vision),"- Major Manufacturing MNC in Singapore
- Newly Created role
- Key Innovation Role",Hudson Global Resources ( HQ ),to be advised,
AI Engineer,"As an AI/ML Engineer at LTS, you will play a crucial role in developing and enhancing our AI-driven products and services. We're seeking a talented...",LAWNET TECHNOLOGY SERVICES PTE. LTD.,,
"Head of Global AI Data Service and Operations, Partnership Management","About TikTok TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's...",TIKTOK PTE. LTD.,,
Presales Solution Architect (Data & AI),"At least 5 years of experience in a solution architect role, focusing on data technologies, with some exposure to AI or a strong interest in develo...",T-Systems Singapore Pte Ltd,,
AI Project Manager,"2. At least 5 years of work experience in AI project management
3. Hold PMP certificate, Scrum master certificate are pefered
4. Excellent facilita...",AIGEL TECHNOLOGIES PTE. LTD.,,
Algorithm Engineer Intern - Search & Recommendation (Summer 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Senior Engineering Manager (AI/ML),"As the Senior Engineering Manager, you'll be at the helm of a team of skilled developers, driving the creation of innovative products that leverage...",Zopim Technologies Pte Ltd,,
"Product Operation Manager, AI Ops (Prompt Engineering Specialization)","TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa. TikTok is th...",TIKTOK PTE. LTD.,,
Research scientist,Skywork AI Singapore welcomes enthusiastic and forward-thinking research scientists to join our dynamic team at the Kunlun-2050 Research Lab Singap...,SKYWORK AI PTE. LTD.,,
AI Prompt Engineer,"Your role is to choose the most appropriate formats, phrases, words, and symbols that guide the AI to interact with your users more meaningfully. Y...",RED HARE STUDIOS,,
Executive / Senior Executive (Innovation) for AI Singapore,Executive / Senior Executive (Innovation) for AI Singapore,National University of Singapore,,
Executive / Senior Executive (Innovation) for AI Singapore,Executive / Senior Executive (Innovation) for AI Singapore,National University of Singapore,,
MLOps Engineer,"In this role, you will be part of the AI & Cloud Engineering (ACE) Division and MLOps team. We are developing a comprehensive AI strategy that deli...",Renesas Electronics Singapore Pte. Ltd.,,
AI Algorithm Engineer,MediaTek Incorporated (TWSE: 2454) is the world’s 5th largest global fabless semiconductor company. Joining MediaTek means becoming part of a team ...,Mediatek Singapore Pte Ltd,,
"R&D Engineer | AI, PyTorch, Tensorflow [ID: 604114]",Our esteem client is a manufacturing company,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),,
Software Engineer (Python Developer),We're looking for a passionate Python engineer to work within the APAC Investment Technology team. You'll work with like-minded technologists globa...,Schroder Investment Management (Singapore) Ltd,,
AI ENGINEER,"This is a full-time remote position for an AI engineer. The AI engineer will be responsible for tasks such as pattern recognition, computer science...",PRESTIGE MEDIA MANAGEMENT PTE. LTD.,,
Postdoctoral Associate (AI for Human Capital Development in Future of Work),The M3S programme aims to promote the use of AI and machines for practical applications through an intersectional approach.,Singapore-MIT Alliance for Research and Technology Centre,,
Cloud Native Engineer - ARK Large Model Platform,"Responsible for Ark Large Model Platform development on Volcano Engine, researching systematic solutions on large model solution implementations an...",TIKTOK PTE. LTD.,,
Program Manager – dConstruct+ AI and Robotics Community Hub,Job Description: We are seeking a talented Program Manager to lead and oversee our AI and Robotics Community Hub. The Program Manager will be respo...,DCONSTRUCT ROBOTICS PTE. LTD.,,
"Postdoctoral Associate (Ethical, accountable & transparent AI)",The M3S programme aims to promote the use of AI and machines for practical applications through an intersectional approach.,Singapore-MIT Alliance for Research and Technology Centre,,
Engineer,We are currently seeking talented and passionate Engineers with experience in AI/ML to join our growing AI Assistants team. Successful candidates w...,Nethermind,,
Software Engineer (Vision),"- Major Manufacturing MNC in Singapore
- Newly Created role
- Key Innovation Role",Hudson Global Resources ( HQ ),To be advised,
"(Senior) Research Officer (Molecular Innovations and AI), BII",To develop innovative approaches in advancing field of bioinformatics and protein structure using language models,"Agency for Science, Technology and Research (A*STAR)",,
"Senior Software Engineer - DevSecOps, Video Analytics and AI, GEC",-,ST Engineering Ltd,,
"Manager/Assistant Manager, AI Office (2-year contract)",You support the CGH Artificial Intelligence and Digital (AID) Committee and CGH Chief Data and Digital Officer (CDDO) on administrative matters.  ,Changi General Hospital,,
"Research Fellow (Python, Matlab, C++, Machine Learning, Control System) - MNC","Research Fellow (Python, Matlab, C++, Machine Learning, Control System), MNC, R&D, Research",RRECRUITER PTE. LTD.,"$6,500 – $8,500 per month",
Software Engineer C++,Perform design and develop software for automated Computer Vision Equipment and oversees the development life cycle,Talent Trader Group Pte Ltd,"$4,500 – $6,500 per month",
(Senior) Algorithm Engineer - Computer Vision,"Be responsible to research and develop innovative computer vision/deep learning algorithms for image applications.
Responsibilities
1. Research, de...",OmniVision Technologies Singapore Pte Ltd,,
Chief technology officer,"We are seeking a Chief Technology Officer with experience in Generative AI (GenAI), Large Language Model (LLM) and Natural Language Processing (NLP...",Recruit Express Group,,
AI Researcher,"Highly driven and able to work individually and as part of a team.
We regret to inform you that only shortlisted candidates will be contacted.",PENTAS VISION PTE. LTD.,,
Creative AI Website Designer (AI Technology Focus),We are seeking a Creative AI Website Designer with a focus on AI-related technology to develop compelling and functional website designs. The desig...,SGMP PTE. LTD.,,
"AI Software Development Engineer [MNC / Up to $7,000]","A leading MNC in the electronics industry seeking for AI Engineer to join their dynamic team.
",Good Job Creations (Singapore) Pte Ltd,"$5,000 – $7,000 per month",
Research Associate [AI algorithm],-,Nanyang Technological University,,
Principal Software Engineer (Digital Analytics),We are looking for a Principal Software Engineer to join our Data Architecture Solutions team.,Mediacorp Pte Ltd,,
"Machine Learning Engineer, Integrations",We are a technology-first team dedicated to developing the most intuitive and performant platform to shape the way users think about building machi...,DATATURE PTE. LTD.,,
Research Engineer (Engineering/ AI / Machine Learning) - WP3,-,Singapore Institute of Technology,,
Lead Data Scientist - Applied AI,"TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headq...",TIKTOK PTE. LTD.,,
"Partner Engineer Specialist, Machine Learning and Artificial Intelligence","As a Partner Engineer Specialist in Machine Learning and Artificial Intelligence, you will work closely with partner development managers and partn...",Google Inc.,,
Multimodal Algo Researcher - AI Innovation Center,TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices includ...,TIKTOK PTE. LTD.,,
MLOps Engineer,We are seeking an experienced MLOps Engineer specializing in large language models at LawNet Technology Services. You will be at the forefront of o...,LAWNET TECHNOLOGY SERVICES PTE. LTD.,,
Research Associate (AI Law) [R00015991],-,Nanyang Technological University,,
NLP / Data Engineer,"As a Data/NLP Engineer at LTS, you will play a crucial role in developing and enhancing our AI-driven products and services. We're seeking a skille...",LAWNET TECHNOLOGY SERVICES PTE. LTD.,,
DevOps Engineer - TikTok Applied Machine Learning,"DevOps ensures that the very centric machine learning services at TikTok have the highest level of availability, as well as creating highly automat...",TIKTOK PTE. LTD.,,
Staff Specialist Artificial Intelligence,-,Infineon Technologies,,
"Scientist/Senior Scientist, AI, ARTC",The Smart Remanufacturing Systems Group is looking for a Scientist/Senior Scientist with related research experience in machine vision and artifici...,A*STAR Research Entities (A*STAR),,
"Manager, Data Engineering - AWS Cloud Specialization","Experience using one or more of AWS / Azure / GCP data and analytics services in combination with custom solutions - Spark, Azure Data Lake, Databr...",Temus Pte. Ltd.,,
"Scientist/Senior Scientist, AI, ARTC",product disassembly automation via machine vision and artificial intelligence.,"Agency for Science, Technology and Research (A*STAR)",,
Senior/Research Engineer (Consumer Electronics),Responsibilities Manage optical alignment equipment. Improve yield and predictability of the optical integration process Troubleshoot of the...,RRECRUITER PTE. LTD.,"$6,500 – $9,000 per month",
Senior AI Engineer,"Lead and design, implemented, and used AI/ML models to process and analyze wireless network events data, ensuring high network sustainability.
Coll...",Pulley Ascent (Asia) Pte Ltd,,
Computer Vision Software Engineer - JD (1141),Semiconductor company is looking for Senior Software Engineer (Vision). Welcome whose with relevant experience to apply.,RK Recruitment Pte. Ltd.,"$5,000 – $7,000 per month",
AI Engineer (Preferred with FSI experiences)- ID: 599871,"Design, implement, and optimize machine learning and deep learning algorithms to solve real-world problems.",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$15,000 – $20,000 per month",
Senior Vision Software Developer,Developing and implementing software applications and algorithms for computer vision systems.,RK Recruitment Pte. Ltd.,"$5,000 – $7,000 per month",
Senior Software Engineer (Mechanical Engineering & Data Science/AI),The Scientist/Engineer will be part of a newly formed Artificial Intelligence team to create an AI Hub for TE in Singapore. ,TE Connectivity Singapore,,
Senior Backend Developer (AI Data Analytics),"The JobTech team is an enthusiastic bunch, obsessed with solving human capital business problems in talent development, using deep technology and l...",Jobtech Pte. Ltd.,,
Project Officer (Computer Engineering/Science),---,Nanyang Technological University,,
Internship: AI Consultant (May - Aug 2024),"• Apply generative AI machine learning and big data to build, manage and automate applications and pipelines for analytics & HR platform
• Prototyp...",IBM SERVICES TALENT DELIVERY PTE. LTD.,,
AI / ML / Data Engineering,"We are looking for sensible and inquisitive engineers and scientists with a strong background in the fields of artificial intelligence, deep learni...",LRDTECH PTE. LTD.,,
"FVP, AI & Machine Learning Practitioner, Data Management Office",-,United Overseas Bank Limited (UOB),,
"Associate AI Scientist - Artificial Intelligence,SAP Labs Singapore",Artificial Intelligence team as part of SAP Labs Singapore has experienced professionals taking on challenges posed by the SAP customers. Based in ...,SAP Asia Pte Ltd,,
Software Engineer (Machine Vision / Image Processing / C Programming / North),"C, C++ Programming - TRAINING PROVIDED, OJT, North, 5 Days, VISION, Pattern Recognition, Image Processing ",EA RECRUITMENT PTE LTD,"$3,800 – $5,000 per month",
"Sr Machine Learning Engineer, Generative AI Innovation Center","As a Machine Learning Engineer in GenAIIC, you are proficient in developing and deploying advanced ML models and pipelines to solve diverse custome...",Amazon Asia Pacific Resources,,
"AI/ML - Siri Language Engineer (Vietnamese), Siri & Information Intelligence","We are looking for proven ability to be creative, take ownership of a project, a superior technical expertise, and a knack for solving problems tha...",Apple Inc.,,
"Sr Machine Learning Engineer, Generative AI Innovation Center","As a Machine Learning Engineer in GenAIIC, you are proficient in developing and deploying advanced ML models and pipelines to solve diverse custome...",Amazon Asia Pacific Resources,,
LEAD TRAINER DATA SCIENCE & AI,Lead trainer with experience in the industry.,Institute Of Data Pte. Ltd.,,
Senior Perception Engineer,"Define requirements, specifications and testing criteria for perception algorithms based on customer inputs
Develop traditional algorithms or AI mo...",MooVita Pte Ltd,,
"Field Engineering, Generative AI Product Specialist","You have expertise in Data Science, Machine Learning, Generative AI, NLP and Computer Vision and expertise in using PySpark and SQL. You will excel...",Databricks,,
Lecturer/School of Informatics & IT (Diploma in Applied AI),"Lecturer in School of Informatics & IT (Diploma in Applied AI)
This is a contract position.
[What you will be working on]
• To conduct lessons in t...",Public Service Division,,
Data Science (AI) Manager,"Proven track record of team management and technical leadership
Proven experience of solving engineering problems with AI, data science and machine...",TE Connectivity Singapore,,
AI Scientist,You will work with a team of Healthineers to develop AI based productivity tools and clinical decision support tools for customers from healthcare....,Siemens Industry Software Pte Ltd,,
Senior Manager (AI Engineer) (Dept of Transformation & Digitalisation),You will be responsible for overseeing the delivery of cutting-edge artificial intelligence and machine learning products from conception to deploy...,Public Service Division,,
"AI/ML - Software Engineer, Associate/Senior Associate, AI POD","Develop a strong understanding of Temasek portfolio companies’ AI/ML focused business and strategic priorities
Stay abreast of technical developmen...",Temasek Polytechnic (TP),,
Strategy Product Manager - AI Innovation Products,"Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, ...",BYTEDANCE PTE. LTD.,,
IoT Engineer,"Design, code, and test sensors that enhance our products and transmit data for storing and analyzing Help develop and test software and hardware ap...",ESAVE APAC PTE. LTD.,,
AI and Data Platform Solution Architect/Consultant,"Understand client requirements, demonstrate the capabilities of Data and AI, particularly Large Language Models (LLMs) and architect solutions ",Peoplebank Singapore Pte Ltd,,
Senior Data Scientist - Applied AI,"We are looking for a highly capable data scientist to design, develop and scale our AI/ML solutions. You will be understanding the business require...",TIKTOK PTE. LTD.,,
Senior Game Designer (AI),"Describe the basic game situations (skills vs challenges) to collaborate with the AI, Level Design team in establishing levels of difficulty.
Work ...",Ubisoft Singapore Pte Ltd,,
"VP / AVP, Enterprise AI/ML Governance Specialist, Transformation Group",Refer a friend Submit a candidate's profile,DBS Bank Limited,,
"Generative AI Strategist, Generative AI Innovation Center","You will partner with customers, AWS Sales, AWS service teams, AWS industry teams and AWS Professional Services delivery teams to craft industry-sp...",Amazon Asia Pacific Resources,,
Senior Algorithm Engineer,"2+ years of experience with one or more of the following domains, such as recommender system, search algorithm and ads algorithm, etc.
Experience w...",Roadget Business PTE. LTD.,,
"Platform Operation Specialist , AI Data Search And Operations - Trust and Safety","TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa. TikTok is ...",TIKTOK PTE. LTD.,,
Risk Services - AI Solution Specialist,We are looking for a seasoned AI Solutions Specialist with a proven track record in the financial services sector. The ideal candidate will possess...,PricewaterhouseCoopers,,
Safety Product Operations - AI Focus,"TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok sponsorship of a visa. About TikTok...",TIKTOK PTE. LTD.,,
"Generative AI Strategist, Generative AI Innovation Center","You will partner with customers, AWS Sales, AWS service teams, AWS industry teams and AWS Professional Services delivery teams to craft industry-sp...",Amazon Asia Pacific Resources,,
"Product Policy Manager, AI Applications, Trust & Safety",TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices includ...,TIKTOK PTE. LTD.,,
Research Engineer - AI & Networking Systems,AMD is looking for Member of Technical Staff (Staff Researcher) who is passionate about research and can make technical contributions to projects t...,Advanced Micro Devices (S) Pte Ltd,,
"Product Policy Manager, AI Applications, Trust & Safety","TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa. TikTok is ...",TIKTOK PTE. LTD.,,
"Senior Manager/Assistant Vice President (AI), DISG","The Singapore Economic Development Board (EDB), a government agency under the Ministry of Trade and Industry, is responsible for strategies that en...",Public Service Division,,
R&D Fellow in Advanced Control Systems, We have a flat hierarchy with a lot of autonomy and creative freedom given to each member. ,PI (PHYSIK INSTRUMENTE) SINGAPORE LLP,"$5,350 – $8,000 per month",
Algorithm Engineer,"Design, develop and implement deep/machine learning algorithms.",Talent Trader Group Pte Ltd,"$8,500 – $11,000 per month",
"Product Manager, AI Applications, Trust & Safety","TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa. TikTok is ...",TIKTOK PTE. LTD.,,
Al Engineer,"2. Lead the AI project lifecycle from conception to deployment, including data collection, preprocessing, model training, validation, and...",ATHLETICS-LINE TECHNOLOGY PTE. LTD.,,
Machine Learning Engineer,"We are seeking a self-motivated, solution-oriented and experienced Machine Learning Engineer to join our Product & Engineering Team.
In this role, ...",Minden International,,
"Senior / Research Engineer, Aural & Language Intelligence (ALI), I2R","Research Engineer / Senior Research Engineer, Aural & Language Intelligence (ALI), I2R","Agency for Science, Technology and Research (A*STAR)",,
Machine Learning Engineer - e-Commerce - Singapore,"Our TikTok team is responsible for developing state-of-the-art machine learning models and strategies to improve user consumption experience, inspi...",TIKTOK PTE. LTD.,,
"Machine Learning Engineer, TikTok Search",Our Search Team is responsible for building and owning TikTok's search engine which provides our users the best search experience. On the TikTok Se...,TIKTOK PTE. LTD.,,
SRE Tech Lead (Machine Learning Systems) - TikTok Infrastructure,"As a Tech Lead, you are expected to set up necessary processes for efficient execution and advocate good engineering practices. You will also need ...",TIKTOK PTE. LTD.,,
Machine learning engineer and gaming technology,The App Ads and Gaming team empowers TikTok's global monetization (billion-dollar business) via efficiently delivering application ads on TikTok. O...,TIKTOK PTE. LTD.,,
Research fellow information statistical signal processing and machine learning,The National University of Singapore (NUS) is offering a position for a postdoctoral fellow who will work closely with Dr. Wang Chi Cheung and Dr. ...,Yale-NUS College,,
"Machine Learning Engineer (Recommendation), TikTok e-Commerce","Our team works on large-scale recommendation systems for various offerings under TikTok and its affiliates, focusing on developing recommendation a...",TIKTOK PTE. LTD.,,
Site Reliability Engineer - TikTok Applied Machine Learning,Site Reliability Engineering (SRE) of Applied Machine Learning (AML) team combines system engineering and the art of machine learning to develop an...,TIKTOK PTE. LTD.,,
"Software Engineer in Machine Learning Infra, TikTok Recommendation Architecture",Our Recommendation Architecture Team is responsible for building up and optimizing the architecture for our recommendation system to provide the mo...,TIKTOK PTE. LTD.,,
"DevOps Engineer, TikTok Applied Machine Learning","DevOps ensures that the very centric machine learning services at TikTok have the highest level of availability, as well as creating highly automat...",TIKTOK PTE. LTD.,,
Senior / Lead Data Engineer,Vanguard is a boutique software house that specialises in realising clients' business goals into enterprise grade cloud-native WebApps.,Vanguard Software Pte Ltd,,
"Research Fellow (Info Theory, Statistical Signal Processing, Machine Learning)","Research Fellow (Information Theory, Statistical Signal Processing, and Machine Learning)",National University of Singapore,,
Video Analytics System Manager,"The scope of the System Manager is as below:
• Coordinate and manage algorithms fine tuning from training environment including training
material c...",MTS SYSTEMS ENGINEERING PTE. LTD.,,
"Senior / Engineer, Software Engineering (Vision)","· Responsible for software feature development and enhancement based on customer requirements.
· Provide supporting and troubleshooting to on-site ...",CAPCON LIMITED SINGAPORE BRANCH,,
Quantitative Analyst,"We are currently seeking a talented Quantitative Analyst to join a dynamic team in Singapore, focused on energy markets with a particular emphasis ...",Eleven,,
Reinforcement Learning Engineer - Autonomous Satellite Navigation,Are you fascinated by the intersection of artificial intelligence and space exploration? Do you dream of developing intelligent systems that can na...,GALAMAD AEROSPACE PTE. LTD.,,
Machine Learning Engineer (Graph Neural Network) - Technical Infrastructure,"The Technical Infrastructure NoSQL team, situated in Singapore, serves TikTok and its associated mid-platforms and business divisions. This team op...",TIKTOK PTE. LTD.,,
Control system engineer / motion control,"As an R&D Fellow, your role will involve conducting experiments, analyzing data, and developing innovative solutions to optimize control performanc...",JDA WMS PTE. LTD.,,
Field Data Processor,greehill is looking for professional with good spatial (3D) orientation skills to process and quality control the acquired field data to our Singap...,GREEHILL ASIA-PACIFIC PTE. LTD.,,
Data Engineer - Search & Recommendation,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Research Fellow (Machine Learning / Natural Language Processing / Web Scraping),-,Singapore Institute of Technology,,
Quantitative Analyst,We are seeking a talented and motivated Quantitative Analyst to join our dynamic team. The ideal candidate will have a strong background in quantit...,PEPPER INTERNET TECHNOLOGY PTE. LTD.,,
"Site Reliability Engineer (DBA), Global E-Commerce","The e-commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and i...",TIKTOK PTE. LTD.,,
"Manager (Academic Programmes),  College of Integrative Studies","Advise students on academic operation matters relating to the Bachelor of Integrative Studies and Individualised Second Major programmes, including...",Hyperscal Solutions,,
Algorithm Engineer - Chatbot (Campus Recruitment 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
12 Months Contract Data Engineer (Local Bank) @ Raffles Place #SJN,Data Engineer. Local Bank.,RECRUIT EXPRESS PTE LTD,"$4,800 – $6,500 per month",
Assessment Technician,"This particular role will be focused solely on onsite condition assessment of city drainages, being the drains, pipes, culverts, etc. where the rai...",CITYBOT TECHNOLOGY PTE. LTD.,,
Investigation Lead,"”Better Health for People, Brighter Future for the World” is the purpose of a company. We aim to create a diverse and inclusive organization where ...",Takeda Pharmaceuticals (Asia Pacific) Pte Ltd,,
Data Product Manager,"Responsible for understanding AEI’s business data and analytics goals and outcomes of data products, maximizing the business value through data and...",AES Global Holdings Pte. Ltd.,,
Video processing algorithm engineer,This inclusive employer is a member of myGwork – the largest global platform for the LGBTQ+ business community. As a Video Processing Algorithm Eng...,"Zoom Video Communications, Inc.",,
Data Engineer,"Key Skills: Hadoop, ETL Informatica, Shell Scripting, Data warehousing
• Minimum 4 years or above with the relevant experience
• Proficiency in Inf...",Saksoft Pte Ltd,,
Fundamental Quantitative Researcher,"The fundamental quantitative researchers develop trading ideas using fundamental and quantitative analysis. A mixed background of finance, programm...",DYNAMIC TECHNOLOGY LAB PRIVATE LIMITED,,
Product Lifecycle Engineer (EE),"Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surr...",Illumina Singapore Pte Ltd,,
"Software Engineer (Big Data, Hadoop, Banking)","Demonstrable analytical skills with deep knowledge of Big Data Ecosystem in a Production Support Environment.
Hands On Experience within the Hadoop...",NEPTUNEZ SINGAPORE PTE. LTD.,,
Algorithm Software Engineer - Paid Ads,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Frontend Engineer Intern - Data Infra (Summer 2024),-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Manager (Academic Programmes),  College of Integrative Studies","Advise students on academic operation matters relating to the Bachelor of Integrative Studies and Individualised Second Major programmes, including...",Singapore Management University,,
Video processing algorithm engineer,"As a Video Processing Algorithm Engineer, you will explore opportunities to research and develop video process algorithms to both improve real-time...","Zoom Video Communications, Inc.",,
Senior/ Data Engineer - DSC/EZ,-,ST Engineering Mission Software & Services Pte Ltd,,
Quantitative Developer,Hawksman Technology is currently working with a global quantitative and systematic investment management company who are looking to hire a Quantita...,Hawksman Technology,,
"Senior Engineer, CHART (Sensing and Robotics Systems)",CGH is looking into developing smart systems for the ageing population and building smart hospitals to enhance productivity of the healthcare...,Changi General Hospital,,
Visiting Research Fellow,The Cardiovascular and Metabolic Disorders (CVMD) Programme houses state-of-the-art technologies for profiling mitochondrial function and metabolic...,Yale-NUS College,,
Junior Algorithm Engineer & Product Manager,Junior Algorithm Engineer & Product Manager,MANJA TECHNOLOGIES PTE. LTD.,"$4,000 – $6,000 per month",
